Symbol,Description,Category2,GICS Sector,Market cap,Market Cap Weight,Index Weight,Dividend yield,Country,Action,Alternative name
WBA,Walgreen Boots Alliance Inc,Common stocks,Consumer Staples,"$41,536,690,434 ",0.38%,0.00%,3.86%,USA,Analyze,"Walgreen Boots Alliance,WalgreenBootsAlliance"
V,Visa Inc Class A,Common stocks,Information Technology,"$485,254,680,000 ",4.49%,0.00%,0.58%,USA,Analyze,Visa
CRM,Salesforce.Com Inc,Common stocks,Information Technology,"$252,552,630,000 ",2.34%,0.00%,0.00%,USA,Analyze,Salesforce
CVX,Chevron Corp,Common stocks,Energy,"$183,431,547,888 ",1.70%,0.00%,5.46%,USA,Analyze,Chevron
PG,Procter & Gamble,Common stocks,Consumer Staples,"$347,516,255,104 ",3.22%,0.00%,2.30%,USA,Analyze,Procter&Gamble
VZ,Verizon Communications Inc,Common stocks,Communication Services,"$223,690,467,858 ",2.07%,0.00%,4.57%,USA,Analyze,Verizon
WMT,Walmart Stores Inc,Common stocks,Consumer Staples,"$398,810,957,644 ",3.69%,0.00%,1.52%,USA,Analyze,"Walmart Stores,Walmart"
UNH,Unitedhealth Group Inc,Common stocks,Health Care,"$388,802,546,696 ",3.60%,0.00%,1.30%,USA,Analyze,"Unitedhealth Group,UnitedhealthGroup"
TRV,Travelers Companies Inc,Common stocks,Financials,"$38,164,928,913 ",0.35%,0.00%,2.24%,USA,Analyze,"Travelers Companies,Travelers,TravelersCompanies"
MCD,Mcdonalds Corp,Common stocks,Consumer Discretionary,"$179,605,129,438 ",1.66%,0.00%,2.13%,USA,Analyze,Mcdonalds
MMM,3M,Common stocks,Industrials,"$103,240,637,100 ",0.96%,0.00%,3.27%,USA,Analyze,3M
NKE,Nike Inc Class B,Common stocks,Consumer Discretionary,"$243,355,049,080 ",2.25%,0.00%,0.71%,USA,Analyze,Nike
MRK,Merck & Co Inc,Common stocks,Health Care,"$182,183,036,871 ",1.69%,0.00%,3.57%,USA,Analyze,"Merck & Co,Merck&Co"
MSFT,Microsoft Corp,Common stocks,Information Technology,"$2,215,389,939,910 ",20.51%,0.00%,0.76%,USA,Analyze,Microsoft
JPM,JP Morgan Chase & Co,Common stocks,Financials,"$457,128,006,208 ",4.23%,0.00%,2.33%,USA,Analyze,"JP Morgan Chase,JPMorgan, J.P. Morgan, JP Morgan,JPM"
KO,Coca-Cola,Common stocks,Consumer Staples,"$233,046,340,051 ",2.16%,0.00%,3.05%,USA,Analyze,CocaCola
JNJ,Johnson & Johnson,Common stocks,Health Care,"$433,122,278,597 ",4.01%,0.00%,2.49%,USA,Analyze,Johnson&Johnson
GS,Goldman Sachs Group Inc,Common stocks,Financials,"$126,694,719,890 ",1.17%,0.00%,1.52%,USA,Analyze,"Goldman Sachs Group,Goldman Sachs,Goldman"
HD,Home Depot Inc,Common stocks,Consumer Discretionary,"$352,721,983,377 ",3.27%,0.00%,1.91%,USA,Analyze,Home Depot
HON,Honeywell International Inc,Common stocks,Industrials,"$148,366,802,049 ",1.37%,0.00%,0.86%,USA,Analyze,"Honeywell International,Honeywell"
IBM,International Business Machines Co,Common stocks,Information Technology,"$119,183,680,107 ",1.10%,0.00%,4.83%,USA,Analyze,"International Business Machines,InternationalBusinessMachines"
INTC,Intel Corporation Corp,Common stocks,Information Technology,"$214,493,590,000 ",1.99%,0.00%,2.57%,USA,Analyze,"Intel Corporation,Intel"
DIS,Walt Disney,Common stocks,Communication Services,"$311,037,559,266 ",2.88%,0.00%,0.51%,USA,Analyze,"Disney,WaltDisney"
CAT,Caterpillar Inc,Common stocks,Industrials,"$103,931,983,295 ",0.96%,0.00%,2.20%,USA,Analyze,"Caterpillar Inc,CaterpillarInc"
CSCO,Cisco Systems Inc,Common stocks,Information Technology,"$233,072,086,773 ",2.16%,0.00%,2.61%,USA,Analyze,"Cisco Systems,Cisco"
AXP,American Express,Common stocks,Financials,"$129,707,088,319 ",1.20%,0.00%,1.05%,USA,Analyze,"American Express,Amex,AmericanExpress"
BA,Boeing,Common stocks,Industrials,"$122,218,533,503 ",1.13%,0.00%,0.00%,USA,Analyze,Boeing
AMGN,Amgen Inc,Common stocks,Health Care,"$122,292,682,742 ",1.13%,0.00%,3.16%,USA,Analyze,Amgen
AAPL,Apple Inc,Common stocks,Information Technology,"$2,370,921,709,380 ",21.95%,0.00%,0.59%,USA,Analyze,"Apple Inc,AppleInc"
DOW,Dow Inc.,Common stocks,Materials,"$41,412,707,388 ",0.38%,0.00%,4.96%,USA,Analyze,Dow