datetime,tweet_id,text,username,ticker_symbol,date,month,year,quarter
2021-11-05 12:50:21+00:00,1456604801098149893,"Salesforce Einstein Analytics(Tableau CRM) online Training 𝘿𝙚𝙢𝙤 𝙏𝙞𝙢𝙞𝙣𝙜𝙨:
07th NOV,07:30 AM  IST ,06th NOV,07:00 PM  PST ,09:00 PM  CST ,10:00 PM  EST ,08:00 PM  MST 
𝒁𝒐𝒐𝒎 𝑴𝒆𝒆𝒕𝒊𝒏𝒈
https://t.co/xc58mvTJ5K https://t.co/DxtweLOZOf",svtechsoft,crm,2021-11-05,11,2021,2021_q4
2021-11-04 16:46:56+00:00,1456301951495331849,"#ApsonaHours (i.e. Apsona Inc. Office Hours today at 1:00 pm ET / 10:00am PT.  

Join via link in our Trailblazers group here to learn how Apsona customers around the world are creating solutions with their #SalesforceData

https://t.co/vNlsDlFs1b",justinbarss,crm,2021-11-04,11,2021,2021_q4
2021-11-02 15:15:41+00:00,1455554210922176513,"$CRM [15s. delayed]: Issued Press Release on November 02, 11:13:00: International SOS Partners with Salesforce and AOKpass to Roll Out an End-to-End Testing &amp;amp; Vaccination Solution to Support Business Continuity and Employee Health https://t.co/It9cXWZBDE",FlashAlert_me,crm,2021-11-02,11,2021,2021_q4
2021-11-02 14:32:00+00:00,1455543217068253184,"T O D A Y 

Don't forget to tune into our @Salesforce #transportation and #logistics webinar w/@ODFL_Inc to hear about their shift from shipment-centric 📦 to shipper-centric 🚚 at 11:00 AM PDT. 

https://t.co/cmGIMEA6hr",sbarghaan,crm,2021-11-02,11,2021,2021_q4
2021-10-28 16:06:57+00:00,1453755172375650315,"@sandyy_00 @sandyy_00 🎁 Your watch kit is on its way! While you wait, catch up on Season 1 of #BossTalks on Salesforce+. 📸 And don't forget to share pics of your care package with us using the hashtag #BossTalks: https://t.co/I8gwb5K8AX",salesforce,crm,2021-10-28,10,2021,2021_q4
2021-10-22 22:09:35+00:00,1451672107549696001,"https://t.co/dywK2btv5H, Inc Annual EPS:

2021 $4.38
2020 $0.15
2019 $1.43
2018 $0.49
2017 $0.46
2016 $-0.07
2015 $-0.42
2014 $-0.39
2013 $-0.48
2012 $-0.02
2011 $0.12
2010 $0.16
2009 $0.09
2008 $0.04
2007 $0.00
2006 $0.06
2005 $0.02

$CRM",Tripple65904021,crm,2021-10-22,10,2021,2021_q4
2021-10-22 11:25:11+00:00,1451509938145140737,"Stock: $CRM - Salesforce
*** NEWS ***
https://t.co/CQcDbxrW09, inc. (NYSE:CRM) CEO Sells $5,803,400.00 in Stock - MarketBeat
https://t.co/DreH2BWpWt
Try now the Best Pivot Point Calculator!! https://t.co/QAggKu4VvG
#tradingview
#stocks
#stockstowatch https://t.co/FVg5FJEI5i",bs_marker,crm,2021-10-22,10,2021,2021_q4
2021-10-20 18:34:20+00:00,1450893161484668932,"SalesforceDevs: Questions about developer tools? Bring them to our next Salesforce Developers #AskMeAnything session on October 27, 9:00 a.m PT | 9:30 p.m IST. 

Add your questions here: ➡️ https://t.co/5x0ANDxlFx
Add to calendar: 🗓️ https://t.co/OyxNWiHNjy",cloudsandbox,crm,2021-10-20,10,2021,2021_q4
2021-10-20 18:31:47+00:00,1450892519722524673,"Questions about developer tools? Bring them to our next Salesforce Developers #AskMeAnything session on October 27, 9:00 a.m PT | 9:30 p.m IST. 

Add your questions here: ➡️ https://t.co/JMgMCxkZ91
Add to calendar: 🗓️ https://t.co/757OdNGRK4",SalesforceDevs,crm,2021-10-20,10,2021,2021_q4
2021-10-14 18:30:05+00:00,1448717764412133385,"Webinar Alert 🚨 Project Management 101 for Growing Professional Services Firms. Tune in on Tuesday, October 19 from 2:00 PM - 2:30 PM EDT to learn how can you drive productivity by managing projects in Salesforce.
https://t.co/cWYZUlZ1Eu",roycon,crm,2021-10-14,10,2021,2021_q4
2021-10-14 06:45:17+00:00,1448540396062011394,"New #Salesforce_training batch update from #Swhizz Technologies
✍️Enroll Now: https://t.co/3okNh9NSA6
👉Attend Free Demo On Salesforce.
📅Demo On: Monday 18th October @ 11:00 AM (IST)
#Salesforce #salesforce_CRM #salesforce_admin #salesforce_developer #salesforce_Training https://t.co/JReYycIYeB",Swhizzofficial,crm,2021-10-14,10,2021,2021_q4
2021-10-11 12:46:58+00:00,1447544251366084615,"$Inc. released several software upgrades to the RealtyJuggler Real Estate CRM [15s. delayed]: Issued Press Release on October 11, 08:43:00: RealtyJuggler Real Estate Software Adds Voice Dialer https://t.co/EXkuwK446g",FlashAlert_me,crm,2021-10-11,10,2021,2021_q4
2021-10-07 19:53:00+00:00,1446201914647928837,"Looks like another Salesforce DevOps Center discussion is on tap. I'll be posting any news. Funny how they don't put DevOps in the title! #SalesforceDevops

Salesforce Best Practices for Shipping Apps Faster
OCTOBER 27 11:00 AM PT

https://t.co/WdfhQS8BFv",salesforcedevop,crm,2021-10-07,10,2021,2021_q4
2021-10-06 09:25:03+00:00,1445681497571164162,"Don't miss @EPAMSYSTEMS @polsource at the @salesforce Innovation Days: Dubai tomorrow, October 7th. Be sure to catch our team presenting at the Retail session 12:15 - 18:00.

Register now! https://t.co/b7jdHLFt15 https://t.co/OZkpuS3ZZT",polsource,crm,2021-10-06,10,2021,2021_q4
2021-09-30 11:25:02+00:00,1443537367453913089,"@EPAMSYSTEMS @polsource is proud to be a sponsor of @salesforce Innovation Days: Dubai on October 7th. Be sure to catch our team presenting at the Retail session 12:15 - 18:00.  #MENA

Register now! https://t.co/q5dYju4yZ0 https://t.co/6dA16NQEDe",polsource,crm,2021-09-30,9,2021,2021_q3
2021-09-26 11:10:24+00:00,1442084133358821382,"https://t.co/IE9NccvFsG, inc. $CRM

Price/Sales (ttm) 11.88
Forward P/E 63.61
Profit Margin 9.99%
Operating Margin (ttm) 4.92%
Return on Equity (ttm) 5.01%
Forward Annual Dividend Yield N/A
Payout Ratio 0.00%
Current Ratio (mrq) 0.94
Levered Free Cash Flow (ttm)8.52B https://t.co/u1kE6yG4H7",Tripple65904021,crm,2021-09-26,9,2021,2021_q3
2021-09-24 20:01:02+00:00,1441492893185691651,"$crm
just to save money 65 cents &amp; 65 cents using robinhood(few people call it #robbinghood) as options clearing time is 12:00 PM ESt or 3:00PM EST, 
Just missing last one hour uptrend of $236
#Salesforce @salesforce the winner with #slack and #tableu and good leadership. #long https://t.co/w2cSlh7zjT",LakshmiPKoppolu,crm,2021-09-24,9,2021,2021_q3
2021-09-24 03:15:14+00:00,1441239777311813640,"https://t.co/3w4eoznWVp, inc. $CRM Insider Sells $326,640.00 in Stock https://t.co/AOfIn5VZgl",WatchlistN,crm,2021-09-24,9,2021,2021_q3
2021-09-23 18:16:33+00:00,1441104212247547906,#News Salesforce Boosts Sales Outlook as Covid-19 Continues to Lift Demand:  Source: Salesforce Boosts Sales Outlook as Covid-19 Continues to Lift Demand Discovered on: 2021-09-23 18:06:00 https://t.co/K4ozQgApZ4 Inc. boosted its full-year sales… https://t.co/znflN6Hfhc https://t.co/dj3jrtwPQ7,BizJournalBiz,crm,2021-09-23,9,2021,2021_q3
2021-09-23 17:50:03+00:00,1441097546256969739,"Session at  2:00 p.m. ET. Join the IT main event to see the latest innovations, from Backup and Restore and DevOps Center, to @Salesforce Functions and more.
Join now: https://t.co/dabUb4H7Qe

#DF21 #dreamforce #salesforce #Salesforceohana #trailblazers #successanywhere https://t.co/rp72QrTHmR",ceptessoftware,crm,2021-09-23,9,2021,2021_q3
2021-09-23 17:06:03+00:00,1441086469821530123,"""Coaching can't be something you put in the diary every Friday at 10:00 a.m. It's gotta be a real time learning on the job."" Marcus Jewell's gems on coaching sales teams. 

Tune in now or catch later on Salesforce+: https://t.co/xyCJ8TMpDn #DF21",salescloud,crm,2021-09-23,9,2021,2021_q3
2021-09-23 15:48:20+00:00,1441066911865901059,"Session to follow at 12:00 p.m. ET. Hear how @Salesforce and customers are accelerating their path to net-zero. 
Join now: https://t.co/mtjPxc0YJD

#DF21 #dreamforce #Salesforce #Salesforcepartner #Salesforceohana #trailblazers #successanywhere https://t.co/oL1ByfRVTB",ceptessoftware,crm,2021-09-23,9,2021,2021_q3
2021-09-23 14:57:00+00:00,1441053994646966273,📅 $CRM: Salesforce https://t.co/WuMTQ1Cpgh Inc Investor Day event starting soon (11:00 AM) https://t.co/7lQhy8jsNH,AieraAlerts,crm,2021-09-23,9,2021,2021_q3
2021-09-23 10:52:10+00:00,1440992381499846668,"This week is @Dreamforce and on the first day, @screaminggeek (SVP, Salesforce DX) and @maguire_justin (Salesforce's CDO) discussed my latest project, our new Salesforce DX Design Principles.

🪄 Magical
👉 Opinionated
⚡️ Progressively Powerful

https://t.co/lNNGv47EAe 16:00 mark",arianaescobar,crm,2021-09-23,9,2021,2021_q3
2021-09-22 20:45:29+00:00,1440779306179829773,"Join industry @Trailblazers to learn how @Salesforce unifies our ecosystem for seamless experiences and outcomes from anywhere. Session at 5:00 p.m. ET. 
https://t.co/cbCHFLroXx

#DF21 #dreamforce #salesforce #Salesforceohana #successanywhere https://t.co/cc5PP5APmx",ceptessoftware,crm,2021-09-22,9,2021,2021_q3
2021-09-22 18:48:41+00:00,1440749912589672459,"Session will follow 3:00 p.m. ET. Join to know how @tableau can help you create a strong data culture to unleash the full power of your data.
https://t.co/1fVc8BqKrV

#DF21 #dreamforce #salesforce #Salesforceohana #successanywhere #trailblazers https://t.co/IzCWtY3a2O",ceptessoftware,crm,2021-09-22,9,2021,2021_q3
2021-09-22 18:45:02+00:00,1440748994146156556,"Catch @salesforce's Dreamforce session, ""Grow Faster and Reach Further with Partners."" We hope to see you there! 

Session ➡️ https://t.co/Kkm916fYqe 
Date/time ➡️ Wednesday Sept. 22, 12:00 p.m. PT",OwnBackup,crm,2021-09-22,9,2021,2021_q3
2021-09-22 17:57:00+00:00,1440736906006839311,📅 $CRM: Salesforce Rocket Companies Inc Vice Chairman and CEO Jay Farner To Present At Salesforce Dreamforce Conference event starting soon (2:00 PM) https://t.co/ioT9aWvYIs,AieraAlerts,crm,2021-09-22,9,2021,2021_q3
2021-09-22 17:21:49+00:00,1440728052405731332,The Dreamforce Education Cloud Keynote starts in 40 minutes at 2:00 EST on Salesforce+: https://t.co/VpEABYnjaG,chaddorshorst,crm,2021-09-22,9,2021,2021_q3
2021-09-22 16:57:09+00:00,1440721844307329038,"Session at 1:00 p.m. ET. Tune in to see how admins, developers, and architects can seamlessly integrate apps, automate processes, and harness the power of APIs.
https://t.co/h4yH4UBuEC

#DF21 #dreamforce #salesforce #Salesforceohana #successanywhere #trailblazers https://t.co/xjmFFmSriJ",ceptessoftware,crm,2021-09-22,9,2021,2021_q3
2021-09-22 16:46:55+00:00,1440719268912328705,"The session on ""The Art of Transformation"" will be live at 1:00 PM ET. Don't miss it.
https://t.co/MyT9X5C0Ro

#DF21 #dreamforce #Salesforce #Salesforceohana #successanywhere #trailblazers #Salesforcepartner https://t.co/Z60KQguUw0",ceptessoftware,crm,2021-09-22,9,2021,2021_q3
2021-09-22 16:12:18+00:00,1440710558261538834,"Did you catch your session yesterday at #Dreamforce 2021? If not, join us at #Dreamforce Day 2 from 12.00 PM ET. Dreamforce is #Salesforce’s annual event that will change the way you think about business and innovation. #Free for everyone. Sep 21-23 https://t.co/ty1MlZ9flQ

#DF21",app_solve,crm,2021-09-22,9,2021,2021_q3
2021-09-22 14:58:41+00:00,1440692031920033807,#RT @marketingcloud: 📣 ⏰ It’s almost time! 📣 ⏰ Watch the Latest with the Greatest to learn about the future of digital. ⌛️ 🤖 Tune in at 10:00 a.m. PT on the Customer 360 channel on Salesforce+. 🍿 😎 #DF21 #D360Latest https://t.co/6UCz57LPLr https://t.co/IGbGabK68i,PenfieldDigital,crm,2021-09-22,9,2021,2021_q3
2021-09-22 14:00:53+00:00,1440677483225878532,📣 ⏰ It’s almost time! 📣 ⏰ Watch the Latest with the Greatest to learn about the future of digital. ⌛️ 🤖 Tune in at 10:00 a.m. PT on the Customer 360 channel on Salesforce+. 🍿 😎 #DF21 #D360Latest https://t.co/oGGu0HkvqM https://t.co/A14GJSbR5i,marketingcloud,crm,2021-09-22,9,2021,2021_q3
2021-09-22 13:30:17+00:00,1440669783721066496,☀️ 🍳 Rise and shine! ☕️ ☀️ Today is the day 👀 — watch the Latest with the Greatest. Tune in at 10:00 a.m. PT on the Customer 360 channel on Salesforce+. 🍿 😎 #DF21 #D360Latest https://t.co/GfAuMFyixQ https://t.co/mW9NC2mptm,CommerceCloud,crm,2021-09-22,9,2021,2021_q3
2021-09-22 02:00:04+00:00,1440496087043768320,"Ready, set, go! 💥

The Dreamforce Asia-Pacific Takeover starts TODAY.

Join us on Salesforce+ for all the #DF21 action 🔗 https://t.co/1CkiSkXKr5

⏰ Streaming from 8:30 A.M. IST | 11:00 A.M. SGT/HKT | 1:00 P.M. AEST | 3:00 P.M. NZST https://t.co/qjuwQIgROc",salesforceapac,crm,2021-09-22,9,2021,2021_q3
2021-09-21 19:47:58+00:00,1440402441942409217,"Join the session at 4:00 p.m. ET and know how #trailblazers are becoming data-focused, AI-savvy, and agile. @SlackHQ
https://t.co/joPKgK7CmC

#DF21 #dreamforce #dreamforce2021 #Salesforce #Salesforcepartner #Salesforceohana #successanywhere https://t.co/BKy851whHZ",ceptessoftware,crm,2021-09-21,9,2021,2021_q3
2021-09-21 18:47:00+00:00,1440387098591121408,"Session to follow at 3:00 P.M. ET. In this main event, trailblazing entrepreneurs will share their journey, scaling secrets, and the reason for loving being part of the partner ecosystem. @Salesforce
https://t.co/TlVmr8q2NQ

#DF21 #dreamforce #trailblazers #successanywhere https://t.co/q1dVC1MyNA",ceptessoftware,crm,2021-09-21,9,2021,2021_q3
2021-09-21 12:30:08+00:00,1440292260034187271,"🚗💨 Ready, set, accelerate! Learn tips to speed up your partner practice and business growth. Salesforce leaders will share their thoughts on how differentiating your offerings can win you new business.

Happening today at 12:00 p.m. PT / 3:00 p.m. ET: https://t.co/Si13dAIr2a https://t.co/rxZRbcEHxm",partnerforce,crm,2021-09-21,9,2021,2021_q3
2021-09-21 12:13:14+00:00,1440288005902659597,"$CRM [15s. delayed]: Issued Press Release on September 21, 08:06:00: Salesforce Launches Health Cloud 2.0, a Connected Platform to Help Deliver Health and Safety from Anywhere https://t.co/ulzt3bdO9E",FlashAlert_me,crm,2021-09-21,9,2021,2021_q3
2021-09-21 11:52:22+00:00,1440282755724496899,"Amref’s Global Ambassador on Ending FGM - @NiceLengete  Join her on Tuesday, September 21st prime time 21:30 – 22:00 CET. What is needed for change? What can we do together? Tune in to #DF21 for an inspiring panel: https://t.co/JXtoFveyEv @Dreamforce @Salesforce https://t.co/9hfJGNyiPy",Amref_Uganda,crm,2021-09-21,9,2021,2021_q3
2021-09-21 03:37:36+00:00,1440158242076692480,"Our Global #EndFGM Ambassador, @NiceLengete will explore w/ 2 other inspiring speakers how the next generation is reimagining the future and leading a movement for inclusive change. 

Join her on #DF21 today, from 21:30 - 22:00 CE. https://t.co/r9Xmt713ho @Dreamforce @salesforce https://t.co/CesLYaOZvo",Amref_Worldwide,crm,2021-09-21,9,2021,2021_q3
2021-09-20 18:05:30+00:00,1440014268259192835,"Want to learn how to turn scrolling into shopping? 🛒 📱 ✅ 

Watch the Latest with the Greatest to learn all the tricks on 9/22 at 10:00 a.m. PT on the Customer 360 channel on Salesforce+. 🌃 🍿 #DF21 #D360Latest

https://t.co/pPzedxZ9xU https://t.co/5WCO0rUNAf",CommerceCloud,crm,2021-09-20,9,2021,2021_q3
2021-09-20 17:30:21+00:00,1440005422056890371,📈 👩🏾‍💻* Online spending is on the rise. 📈 🛒* Learn how to make the most of consumer trends. Watch the Latest with the Greatest on 9/22 at 10:00 a.m. PT on the Customer 360 channel on Salesforce+. 🌃 🍿 #DF21 #D360Latest https://t.co/vP7SDssqj4 https://t.co/wQ3mCHHO5P,ExperienceCloud,crm,2021-09-20,9,2021,2021_q3
2021-09-20 12:12:06+00:00,1439925334430867459,"Tune in to #DF21 for an inspiring panel: The Next Normal Designed by the Next Generation: 21st September prime time 21:30 – 22.00 CET with 
@NiceLengete, @BrownGirl_Green, and @EddieNdopu: https://t.co/bWeqg4IMDj @Dreamforce @salesforce https://t.co/2qsGMkr7Uq",Amref_Kenya,crm,2021-09-20,9,2021,2021_q3
2021-09-20 11:51:58+00:00,1439920266000412676,"Tune in to #DF21 for an inspiring panel: The Next Normal Designed by the Next Generation: 21st September prime time 21:30 – 22.00 CET with @NiceLengete, @BrownGirl_Green, and @EddieNdopu: https://t.co/r9Xmt6JspQ @Dreamforce @salesforce",Amref_Worldwide,crm,2021-09-20,9,2021,2021_q3
2021-09-20 00:41:08+00:00,1439751443813048321,"Watch our @ExperienceCloud Roadmap Session at @Dreamforce this Wednesday, September 22nd, at 4:00 pm PT, to see the future of @salesforce's customer-first, digital experience platform. https://t.co/pjK0zomdOt",AdamWegel,crm,2021-09-20,9,2021,2021_q3
2021-09-18 17:30:30+00:00,1439280685190160384,"🧐 🔮 Wondering about the future of digital? 🧐 📱 

Check out the Latest with the Greatest for a recap of this year’s tech trends and insights on what’s next. Catch us on 9/22 at 10:00 a.m. PT on the Customer 360 channel on Salesforce+. #DF21 #D360Latest https://t.co/lvgYWxdKYj https://t.co/nv1GlR0eNm",ExperienceCloud,crm,2021-09-18,9,2021,2021_q3
2021-09-17 19:00:21+00:00,1438940909618532354,"Next week, catch @salesforce's Dreamforce session, ""Grow Faster and Reach Further with Partners."" We hope to see you there! 

Session ➡️ https://t.co/Kkm915YnyG 
Date/time ➡️ Wednesday Sept. 22, 12:00 p.m. PT",OwnBackup,crm,2021-09-17,9,2021,2021_q3
2021-09-17 13:49:28+00:00,1438862674008293377,"Targets Raised Today:
$CRM salesforce $320.00 ➝ $330.0
$DDOG Datadog $156.00 ➝ $180.00
$FB Facebook $425.00 ➝ $440.00
$GOOGL Alphabet $3,150.00 ➝ $3,325.00
$LULU Lululemon $405.00 ➝ $520.00
$MDB MongoDB $505.00 ➝ $590.00
$MSFT Microsoft $330.00 ➝ $345.00",DataNetNews,crm,2021-09-17,9,2021,2021_q3
2021-09-17 08:50:48+00:00,1438787508293210112,"Insider Selling: https://t.co/3w4eoz6m3R, inc. $CRM CEO Sells $5,071,800.00 in Stock https://t.co/2RTRpiIyzS",WatchlistN,crm,2021-09-17,9,2021,2021_q3
2021-09-17 06:42:03+00:00,1438755107735101441,"Outside IR35 Salesforce CRM Campaign Manager at Claremont Consulting, City and County of the City of London, £0.00 per Year https://t.co/grrq4Uh8G2 Join now! #IR35 #OutsideIR35",Outside_Spy,crm,2021-09-17,9,2021,2021_q3
2021-09-16 20:33:41+00:00,1438602007808466951,"$CRM [15s. delayed]: Issued Press Release on September 16, 16:30:00: Salesforce to Hold Annual Investor Day on September 23, 2021 https://t.co/u0H0X6APIE",FlashAlert_me,crm,2021-09-16,9,2021,2021_q3
2021-09-16 20:32:52+00:00,1438601802367315970,"* Salesforce To Hold Annual Investor Day On September 23, 2021 Beginning At 11:00 a.m. ET

(via @Benzinga) $CRM",Live_News_Nick,crm,2021-09-16,9,2021,2021_q3
2021-09-15 18:30:13+00:00,1438208548975095808,"Ready to get that digital glow-up?📱 🔥 

Watch the Latest with the Greatest and get your business ready to roll out the red carpet for your customers. 💃🏽 

Catch us on 9/22 at 10:00 a.m. PT on the Customer 360 channel on Salesforce+. #DF21 #D360Latest https://t.co/OEiHLVkxSr https://t.co/XSRP09gAUc",CommerceCloud,crm,2021-09-15,9,2021,2021_q3
2021-09-14 12:01:42+00:00,1437748386665570306,"$MAPS [15s. delayed]: Issued Press Release on September 14, 08:00:00: WM Technology, Inc. Acquires Leading Cannabis CRM &amp;amp; Marketing Platform Sprout https://t.co/eZGt4Yu3JE",FlashAlert_me,crm,2021-09-14,9,2021,2021_q3
2021-08-30 21:16:15+00:00,1432452129424281616,"Good news: Salesforce Dreamforce conference is free for anyone to attend this year (Sept. 21-23, 2021, 11:30am – 7:00 pm CST). Register now to attend virtually for free! https://t.co/jN7oKQVbkz

#innovation #salesforcepartner https://t.co/92JzjH5NzA",MaverickDigital,crm,2021-08-30,8,2021,2021_q3
2021-08-28 14:24:26+00:00,1431623714186092549,"Friday Aug, 27 $CRM #Salesforce closing price: 266,53 USD
CALL Premiun: 1,90 p/c (190,00 USD)
PUT Premiun: 1,35 p/c (135,00 USD)
Total Profit: 325,00 USD
#optionstrade #options #Traders #optionselling #Options #optiontrading #option #WallStreet #wallstreetbets #daytrader https://t.co/x4NSA6twhd",rteixeira23,crm,2021-08-28,8,2021,2021_q3
2021-08-27 21:00:43+00:00,1431361055494709255,"$CRM [15s. delayed]: Issued Press Release on August 27, 17:00:00: Salesforce Grants Equity Awards to Slack Employees Under Its Inducement Equity Incentive Plan https://t.co/LQCkgGRKkX",FlashAlert_me,crm,2021-08-27,8,2021,2021_q3
